From_top,To_top,Processnumbersfromtop,Processnumberstotop,From_bottom,To_bottom,Processnumbersfrombottom,Processnumberstobottom,ratio
Concrete_gravel,Landfill,21,46,Concrete_manufacturing,Landfill,20-21-22-23-24,46,0.5
Concrete_cement,Other_infrastructure_cement,24,31,Concrete_manufacturing,Other_infrastructure,20-21-22-23-24,28-29-30-31-32,0.5
Concrete_crushed_rock,Other_infrastructure_crushed_rock,22,30,Concrete_manufacturing,Other_infrastructure,20-21-22-23-24,28-29-30-31-32,0.2
Concrete_gravel,Other_infrastructure_gravel,21,29,Concrete_manufacturing,Other_infrastructure,20-21-22-23-24,28-29-30-31-32,0.2
Concrete_sand,Other_infrastructure_sand,20,28,Concrete_manufacturing,Other_infrastructure,20-21-22-23-24,28-29-30-31-32,0.1
Concrete_steel,Other_infrastructure_steel,23,32,Concrete_manufacturing,Other_infrastructure,20-21-22-23-24,28-29-30-31-32,0
Concrete_sand,owp_overburden_interburden,20,47,Concrete_manufacturing,owp_overburden_interburden,20-21-22-23-24,47,0.1
Concrete_gravel,owp_overburden_interburden,21,47,Concrete_manufacturing,owp_overburden_interburden,20-21-22-23-24,47,0.2
Concrete_crushed_rock,owp_overburden_interburden,22,47,Concrete_manufacturing,owp_overburden_interburden,20-21-22-23-24,47,0.7
Extraction_coal,Cement_manufacturing,11,18,Cement_manufacturing,Concrete_cement,18,24,0.1
Extraction_clay,Cement_manufacturing,12,18,Cement_manufacturing,Concrete_cement,18,24,0.2
Extraction_gypsum,Cement_manufacturing,8,18,Cement_manufacturing,Concrete_cement,18,24,0
Extraction_limestone,Cement_manufacturing,7,18,Cement_manufacturing,Concrete_cement,18,24,0
Extraction_limestone,Reinforcing_steel_manufacturing,7,19,Reinforcing_steel_manufacturing,Concrete_steel,19,23,0
Extraction_iron_ore,Reinforcing_steel_manufacturing,9,19,Reinforcing_steel_manufacturing,Concrete_steel,19,23,0.8
Extraction_dolomite,Reinforcing_steel_manufacturing,10,19,Reinforcing_steel_manufacturing,Concrete_steel,19,23,0
Extraction_coal,Reinforcing_steel_manufacturing,11,19,Reinforcing_steel_manufacturing,Concrete_steel,19,23,0.2
By_product_steel_scraps,Reinforcing_steel_manufacturing,50,19,Reinforcing_steel_manufacturing,Concrete_steel,19,23,0.2
Alternative_fuels,Cement_manufacturing,61,18,Extraction_coal,Cement_manufacturing,11,18,0.9
Import_gypsum,Cement_manufacturing,56,18,Extraction_gypsum,Cement_manufacturing,8,18,0.5
Import_clinker,Cement_manufacturing,58,17,Cement_manufacturing,Concrete_cement,18,24,0.1
