flownumberfrom,flownumberto,parentflownumberfrom,parentflownumberto,navigation,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
10,19,0,0,10-19-0-0,5.952,4.904,0,14.775,0.025,0.017,27828,20078,1
11,18,0,0,11-18-0-0,889.076,212.197,498.762,1292.444,1.037,0.733,41024,30987,1
11,19,0,0,11-19-0-0,122.397,44.989,44.739,207.346,0.26,0.184,27418,27453,1
12,18,0,0,12-18-0-0,1001.986,248.272,549.005,1478.957,1.035,0.732,57296,27156,1
13,20,0,0,13-20-0-0,7255.909,1200.219,4979.764,9489.177,7.315,5.173,26969,29848,1
13,25,0,0,13-25-0-0,2572.746,1062.26,752.635,4551.846,7.145,5.052,21021,27102,1
13,38,0,0,13-38-0-0,0.128,0.079,0,0.263,0,0,28365,16850,1
13,39,0,0,13-39-0-0,0.128,0.079,0,0.264,0,0,30712,18242,1
13,40,0,0,13-40-0-0,0.128,0.08,0,0.264,0,0,27678,15644,1
13,48,0,0,13-48-0-0,280.253,252.453,0.003,744.804,1.366,1.548,42648,29031,1
14,21,0,0,14-21-0-0,14823.998,1183.853,12621.526,17060.562,6.529,4.616,32860,31286,1
14,38,0,0,14-38-0-0,0.129,0.08,0,0.266,0,0,30934,16900,1
14,39,0,0,14-39-0-0,0.128,0.079,0,0.264,0,0,26655,16307,1
14,41,0,0,14-41-0-0,0.129,0.079,0,0.264,0,0,30198,18761,1
14,48,0,0,14-48-0-0,265.166,240.426,0.002,708.203,1.033,0.788,40859,23341,1
15,22,0,0,15-22-0-0,34559.003,3204.867,28556.816,40592.747,20.323,14.371,24799,26157,1
15,38,0,0,15-38-0-0,0.129,0.079,0,0.264,0,0,26778,16269,1
15,39,0,0,15-39-0-0,0.129,0.079,0,0.264,0,0,29886,18570,1
15,42,0,0,15-42-0-0,0.13,0.079,0,0.264,0,0,27989,16272,1
15,48,0,0,15-48-0-0,288.54,259.035,0.039,763.852,1.062,0.826,46015,23320,1
16,20,0,0,16-20-0-0,86.738,66.445,0.002,205.805,0.306,0.216,31832,20849,1
16,25,0,0,16-25-0-0,30.597,28.015,0.002,80.944,0.145,0.103,26061,21703,1
16,38,0,0,16-38-0-0,0.129,0.079,0,0.262,0,0,29132,18672,1
16,39,0,0,16-39-0-0,0.129,0.08,0,0.264,0,0,30645,17263,1
16,48,0,0,16-48-0-0,304.376,257.838,0.048,776.042,1.208,0.854,36435,26467,1
17,20,0,0,17-20-0-0,3026.2,1019.57,1186.086,4968.551,4.552,3.219,47503,30149,1
17,21,0,0,17-21-0-0,6565.35,2015.848,2855.956,10327.135,9.978,7.055,39363,28701,1
17,22,0,0,17-22-0-0,8939.83,3251.938,2817.897,14990.478,14.819,10.479,44003,23419,1
17,25,0,0,17-25-0-0,1107.715,571.386,223.641,2167.478,3.417,2.416,25262,28783,1
17,38,0,0,17-38-0-0,12785.004,7707.93,0.456,25801.047,51.343,36.712,21898,22989,1
17,39,0,0,17-39-0-0,5063.499,3339.287,0.143,10857.993,16.86,12.343,35787,22087,1
17,40,0,0,17-40-0-0,521.875,360.581,0.009,1154.085,1.802,1.274,31440,19879,1
17,41,0,0,17-41-0-0,786.583,539.87,0.067,1731.526,2.571,1.818,36521,23866,1
17,42,0,0,17-42-0-0,2509.571,1712.148,0.134,5521.235,7.739,5.933,45231,26654,1
17,48,0,0,17-48-0-0,272.651,244.201,0.003,725.903,0.989,0.765,48654,24289,1
18,24,0,0,18-24-0-0,7264.272,671.864,5983.511,8514.575,3.19,2.256,44230,32902,1
18,26,0,0,18-26-0-0,1061.177,530.365,158.402,2028.625,3.595,2.542,20666,23812,1
19,23,0,0,19-23-0-0,1063.301,322.692,475.935,1664.206,2.048,1.448,23536,24721,1
20,28,0,0,20-28-0-0,3053.129,1233.08,906.576,5337.635,10.561,7.468,13901,20384,1
20,33,0,0,20-33-0-0,7328.273,1713.001,4130.779,10582.754,12.196,8.624,19642,25539,1
20,46,0,0,20-46-0-0,226.24,101.273,51.013,415.704,0.534,0.378,30055,21200,1
20,47,0,0,20-47-0-0,267.405,120.913,59.566,491.604,0.645,0.456,30412,23752,1
21,29,0,0,21-29-0-0,6499.07,2437.189,2279.041,11138.525,20.834,14.732,13738,22974,1
21,34,0,0,21-34-0-0,14336.024,2614.513,9402.732,19204.765,18.72,13.237,19408,23084,1
21,46,0,0,21-46-0-0,383.678,161.143,97.558,681.013,0.811,0.574,32739,20832,1
21,47,0,0,21-47-0-0,509.753,221.962,115.176,913.978,1.198,0.847,29295,23192,1
22,30,0,0,22-30-0-0,7444.104,3113.035,2273.784,13384.472,27.006,19.097,13419,20516,1
22,35,0,0,22-35-0-0,34966.935,5517.387,24979.454,45746.866,42.962,30.379,16544,19656,1
22,46,0,0,22-46-0-0,149.854,69.088,27.397,275.082,0.363,0.256,30038,20238,1
22,47,0,0,22-47-0-0,1967.407,762.038,595.024,3374.629,4.036,2.854,31860,23373,1
23,32,0,0,23-32-0-0,273.723,207.446,0.017,648.34,1.462,1.034,18694,21095,1
23,36,0,0,23-36-0-0,928.968,417.872,175.689,1725.869,2.797,1.978,20899,18022,1
24,31,0,0,24-31-0-0,6416.216,1217.117,4130.677,8650.882,7.085,5.01,30357,24253,1
24,37,0,0,24-37-0-0,1669.862,1157.403,0.434,3701.641,6.616,5.085,30172,25427,1
