From,to,quantity,time,location,Flownumberfrom,Flownumberto,ParentProcessFlowfrom,ParentProcessFlowto,Subprocessnumbersfrom,Subprocessnumbersto
Crushed_rock_pr,Other_aggregate_use,0,2019,England,15,38,0,0,nan,nan
Secondary_aggregates_pr,Other_aggregate_use,0,2019,England,16,38,0,0,nan,nan
C&D_waste_pr,Other_aggregate_use,7573,2019,England,17,38,0,0,nan,nan
Upstream_processing,Non_aggregate_use,2865,2019,England,2,39,1,0,13-14-15-16-17-18-19,nan
Sand_pr,Non_aggregate_use,0,2019,England,13,39,0,0,nan,nan
Gravel_pr,Non_aggregate_use,0,2019,England,14,39,0,0,nan,nan
Crushed_Rock_pr,Non_aggregate_use,0,2019,England,15,39,0,0,nan,nan
Secondary_Aggregates_pr,Non_aggregate_use,0,2019,England,16,39,0,0,nan,nan
C&D_Waste_pr,Non_aggregate_use,2865,2019,England,17,39,0,0,nan,nan
Upstream_processing,Landscape_geo,1884,2019,England,2,8,1,1,13-14-15-16-17-18-19,40-41-42-43
Sand_pr,Landscape_geo_sand_for_fill,0,2019,England,13,40,0,0,nan,nan
C&D_Waste_pr,Landscape_geo_sand_for_fill,257,2019,England,17,40,0,0,nan,nan
Gravel_pr,Landscape_geo_gravel_for_fill,0,2019,England,14,41,0,0,nan,nan
C&D_Waste_pr,Landscape_geo_gravel_for_fill,385,2019,England,17,41,0,0,nan,nan
Crushed_Rock_pr,Landscape_geo_crushed_rock_for_fill,0,2019,England,15,42,0,0,nan,nan
C&D_Waste_pr,Landscape_geo_crushed_rock_for_fill,1242,2019,England,17,42,0,0,nan,nan
C&D_Waste_pr,owp_scalpings_fines,1157,2019,England,17,48,0,0,nan,nan
Cement_manufacturing,Concrete_manufacturing,7516.666667,2019,England,18,3,0,1,nan,20-21-22-23-24
Cement_manufacturing,Concrete_cement,7516.666667,2019,England,18,24,0,0,nan,nan
Cement_manufacturing,Mortar_manufacturing,1164.4,2019,England,18,4,0,1,nan,25-26
Cement_manufacturing,Mortar_cement,1164.4,2019,England,18,26,0,0,nan,nan
Reinforcing_steel_manufacturing,Concrete_manufacturing,722.15127,2019,England,19,3,0,1,nan,20-21-22-23-24
Reinforcing_steel_manufacturing,Concrete_steel,722.15127,2019,England,19,23,0,0,nan,nan
Import,Concrete_manufacturing,4387.160117,2019,England,11,3,1,1,51-52-53-54-55-56-57-58-59-60,20-21-22-23-24
Import,Concrete_sand,542.64,2019,England,11,20,1,0,51-52-53-54-55-56-57-58-59-60,nan
Import_sand_lw,Concrete_sand,428.6856,2019,England,51,20,0,0,nan,nan
Import_sand_md,Concrete_sand,113.9544,2019,England,54,20,0,0,nan,nan
Import,Concrete_gravel,328.44,2019,England,11,21,1,0,51-52-53-54-55-56-57-58-59-60,nan
Import_gravel_lw,Concrete_gravel,259.4676,2019,England,52,21,0,0,nan,nan
Import_gravel_md,Concrete_gravel,68.9724,2019,England,55,21,0,0,nan,nan
Import_crushed_rock_lw,Concrete_crushed_rock,337.6,2019,England,53,22,0,0,nan,nan
Import_steel,Concrete_steel,1134.27873,2019,England,60,23,0,0,nan,nan
Import_cement,Concrete_cement,1173.121387,2019,England,59,24,0,0,nan,nan
Import,Mortar_manufacturing,341.6871676,2019,England,11,4,1,1,51-52-53-54-55-56-57-58-59-60,25-26
Import_sand_lw,Mortar_sand,126.3684,2019,England,51,25,0,0,nan,nan
Import_sand_md,Mortar_sand,33.5916,2019,England,54,25,0,0,nan,nan
Import_cement,Mortar_cement,181.7271676,2019,England,59,26,0,0,nan,nan
Concrete_manufacturing,Other_infrastructure,29681.13,2019,England,3,5,1,1,20-21-22-23-24,28-29-30-31-32
Concrete_sand,Other_infrastructure_sand,3321,2019,England,20,28,0,0,nan,nan
Concrete_gravel,Other_infrastructure_gravel,4982,2019,England,21,29,0,0,nan,nan
Concrete_crushed_rock,Other_infrastructure_crushed_rock,6211,2019,England,22,30,0,0,nan,nan
Concrete_cement,Other_infrastructure_cement,14514,2019,England,24,31,0,0,nan,nan
Concrete_steel,Other_infrastructure_steel,653.13,2019,England,23,32,0,0,nan,nan
Concrete_manufacturing,Buildings,79943.3,2019,England,3,6,1,1,20-21-22-23-24,33-34-35-36-37
Concrete_sand,Buildings_sand,11899,2019,England,20,33,0,0,nan,nan
Concrete_gravel,Buildings_gravel,17849,2019,England,21,34,0,0,nan,nan
Concrete_crushed_rock,Buildings_crushed_rock,22252,2019,England,22,35,0,0,nan,nan
Concrete_cement,Buildings_cement,26740,2019,England,24,37,0,0,nan,nan
Concrete_steel,Buildings_steel,1203.3,2020,England,23,36,0,0,nan,nan
Mortar_manufacturing,Buildings,9856,2019,England,4,6,1,1,25-26,33-34-35-36-37
Mortar_sand,Buildings_sand,5632,2019,England,25,33,0,0,nan,nan
Mortar_cement,Buildings_cement,4224,2019,England,26,37,0,0,nan,nan
Mortar_manufacturing,Other_infrastructure,0,2019,England,4,5,1,1,25-26,28-29-30-31-32
Mortar_sand,Other_infrastructure_sand,0,2019,England,25,28,0,0,nan,nan
Mortar_cement,Other_infrastructure_cement,0,2019,England,26,31,0,0,nan,nan
Concreting_C&D_processing,Buildings,17632,2019,England,27,6,0,1,nan,33-34-35-36-37
Concreting_C&D_processing,Buildings_crushed_rock,17632,2019,England,27,35,0,0,nan,nan
Concreting_C&D_processing,Other_infrastructure,0,2019,England,27,5,0,1,nan,28-29-30-31-32
Concreting_C&D_processing,Other_infrastructure_crushed_rock,0,2019,England,27,30,0,0,nan,nan
Concreting_C&D_processing,owp,416,2019,England,27,10,0,1,nan,47-48
